ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S2,Greedy reaktiv,0.99,2,1,1,18,1,0.1284,0.9904,0.0755,0.3117,0.0602,0.9237,28,0.379,,5400
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S2,MILP,1.0,0,0,0,0,0,0.1171,0.9823,0.0167,0.0584,0.0213,0.2517,339,30.075,1,5400
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S2,MILP reaktiv,1.0,0,0,0,1,0,0.1204,0.9885,0.0481,0.1517,0.0421,0.897,38,0.709,0,5400
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S2,Greedy auf MILP-Plan,0.9933,2,1,1,6,1,0.1246,0.9891,0.0645,0.2688,0.0522,0.8674,50,0.423,,5400
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S2,MILP auf Greedy-Plan,1.0,0,0,0,20,0,0.1271,0.9991,0.0716,0.3117,0.0559,0.9239,28,0.358,0,5400
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S0,Greedy,1.0,0,0,0,18,0,0.0942,0.9304,0.0694,0.3345,0.0696,1.0,0,0.429,,0
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S0,Greedy reaktiv,1.0,0,0,0,18,0,0.0942,0.9304,0.0694,0.3345,0.0696,1.0,0,0.363,,0
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S0,MILP,1.0,0,0,0,0,0,0.1006,0.9375,0.0151,0.0651,0.0625,1.0,0,30.063,1,0
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S0,MILP reaktiv,1.0,0,0,0,0,0,0.1006,0.9375,0.0151,0.0651,0.0625,1.0,0,0.182,0,0
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S0,Greedy auf MILP-Plan,1.0,0,0,0,2,0,0.1006,0.9375,0.0151,0.0651,0.0625,0.9753,9,0.364,,0
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S0,MILP auf Greedy-Plan,1.0,0,0,0,18,0,0.0942,0.9304,0.0694,0.3345,0.0696,1.0,0,0.154,0,0
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S1,Greedy,1.0,0,0,0,18,0,0.0909,0.9688,0.0897,0.3943,0.0502,0.4844,232,0.467,,6975
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S1,Greedy reaktiv,1.0,0,0,0,17,0,0.0909,0.9751,0.0892,0.4319,0.0568,0.8682,51,0.361,,6975
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S1,MILP,1.0,0,0,0,0,0,0.0942,0.9714,0.0176,0.0962,0.0324,0.2522,344,25.913,0,5850
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S1,MILP reaktiv,1.0,0,0,0,1,0,0.0974,0.975,0.0361,0.1232,0.0358,0.9297,26,0.618,0,5850
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S1,Greedy auf MILP-Plan,1.0,0,0,0,5,0,0.1006,0.9792,0.0476,0.1558,0.0459,0.8796,46,0.405,,5850
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S1,MILP auf Greedy-Plan,1.0,0,0,0,19,0,0.0942,0.9816,0.0684,0.3021,0.0531,0.9202,30,0.185,0,6975
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S2,Greedy,0.9935,1,1,0,18,0,0.0882,0.9643,0.0808,0.4013,0.0474,0.5455,195,0.458,,8640
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S2,Greedy reaktiv,0.9935,1,1,0,15,0,0.0882,0.971,0.0901,0.4319,0.0613,0.8717,49,0.38,,8640
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S2,MILP,1.0,0,0,0,0,0,0.0942,0.9747,0.0221,0.1045,0.0305,0.2694,339,30.077,1,7290
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S2,MILP reaktiv,1.0,0,0,0,1,0,0.1006,0.9836,0.0555,0.1628,0.0537,0.9142,32,0.434,0,7290
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S2,Greedy auf MILP-Plan,0.9968,1,0,1,6,1,0.101,0.9809,0.0597,0.2115,0.0554,0.8571,55,0.37,,7290
geriatrie,4711,0.9,24,21.5,15.36,17.7,308,S2,MILP auf Greedy-Plan,1.0,0,0,0,16,0,0.0942,0.9802,0.0652,0.3021,0.0505,0.8945,40,0.447,0,8640
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S0,Greedy,1.0,0,0,0,14,0,0.1104,0.9611,0.066,0.3334,0.0499,1.0,0,0.469,,0
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S0,Greedy reaktiv,1.0,0,0,0,14,0,0.1104,0.9611,0.066,0.3334,0.0499,1.0,0,0.396,,0
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S0,MILP,1.0,0,0,0,0,0,0.1137,0.9567,0.0206,0.0651,0.0433,1.0,0,9.033,0,0
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S0,MILP reaktiv,1.0,0,0,0,0,0,0.1137,0.9567,0.0206,0.0651,0.0433,1.0,0,0.18,0,0
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S0,Greedy auf MILP-Plan,1.0,0,0,0,1,0,0.1137,0.9567,0.0206,0.0651,0.0433,0.9943,2,0.435,,0
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S0,MILP auf Greedy-Plan,1.0,0,0,0,14,0,0.1104,0.9611,0.066,0.3334,0.0499,1.0,0,0.174,0,0
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S1,Greedy,1.0,0,0,0,14,0,0.1137,1.0071,0.1008,0.5456,0.054,0.3094,317,0.483,,7875
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S1,Greedy reaktiv,1.0,0,0,0,14,0,0.1171,1.0115,0.0807,0.3941,0.064,0.8281,66,0.43,,7875
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S1,MILP,1.0,0,0,0,0,0,0.1171,0.9854,0.0197,0.101,0.0155,0.2686,335,30.089,1,5400
geriatrie,20260906,0.9,26,20.65,14.9,17.18,299,S1,MILP reaktiv,1.0,0,0,0,0,0,0.1171,0.9963,0.0431,0.1412,0.0372,0.9415,21,0.574,0,5400
